id,InvoiceID,InvoiceNumber,user_id,order_type,ordernumber,shipping_method_id,payment_mothod_id,subtotal,vat,shipping_charge,discount,total,status,deleted,deleted_by,created_at,Day,Month,Year,Day of Week
133,da851ec4-7b5f-4c6f-b6c6-5b23a3a3a9ec,INV-5113,2149,1,16251199112149,19,1,1100,143.48,0,0,1100,6,0,NULL,01/07/2021,1,7,2021,5
134,74d201c7-2905-489a-8fac-19645e6a2ff6,INV-5114,4206,1,16251203734206,17,1,679,88.57,0,0,679,6,0,NULL,01/07/2021,1,7,2021,5
135,a2f9b5e8-1b56-4053-8b80-6612bb2d2fad,INV-5115,5246,1,16251217385246,17,12,835,108.91,0,0,835,6,0,NULL,01/07/2021,1,7,2021,5
138,541310db-9631-44a4-9a7a-bed90f7b2864,INV-5202,7414,1,16251220687414,12,2,466,69.91,70,0,536,6,0,NULL,01/07/2021,1,7,2021,5
143,f5709d9c-eba4-4e56-84db-f939c45a5ef2,INV-5014,7416,1,16251252397416,19,1,1715,223.7,0,0,1715,6,0,NULL,01/07/2021,1,7,2021,5
145,b60771c4-595e-4174-81be-d94430b44aaf,INV-5132,6874,1,16251253736874,20,2,830,108.26,0,83,747,6,0,NULL,01/07/2021,1,7,2021,5
146,928b3315-d86c-4e1c-8eaa-719669691099,INV-5117,7418,1,16251259547418,20,12,3264,425.74,0,0,3264,6,0,NULL,01/07/2021,1,7,2021,5
148,86bd19c0-5a71-4eac-b069-b0bac111f35d,INV-5118,7420,1,16251270417420,12,11,440,66.52,70,0,510,6,0,NULL,01/07/2021,1,7,2021,5
149,72caa5a3-0cb2-444b-9980-564c3a4c8f16,INV-5135,2798,1,16251275442798,24,2,2041.2,266.24,0,0,2041.2,6,0,NULL,01/07/2021,1,7,2021,5
150,1b35fe5e-36b0-4eae-b3be-d3dff3fe6c84,INV-5119,7419,1,16251276087419,19,1,554,72.26,70,0,624,6,0,NULL,01/07/2021,1,7,2021,5
151,f4260ef2-287d-4dd7-bbac-33982e3c58f6,INV-5016,7421,1,16251284837421,17,1,510,66.52,70,0,580,6,0,NULL,01/07/2021,1,7,2021,5
152,c7c2f822-968c-4bf6-9678-a5b6492cabd6,INV-5018,1939,1,16251287671939,12,1,1230,160.43,0,0,1230,6,0,NULL,01/07/2021,1,7,2021,5
155,eb5392a6-4268-4840-af39-03ee6df82c0d,INV-5120,6892,1,16251332456892,17,1,540,70.43,70,0,610,6,0,NULL,01/07/2021,1,7,2021,5
156,82805818-31e5-498b-bbf0-83e290039922,INV-6667,7424,1,16251334697424,17,1,747,97.43,0,0,747,6,0,NULL,01/07/2021,1,7,2021,5
158,663ddaa6-3381-413d-87af-578427e5749c,INV-5122,4633,1,16251350444633,17,11,435,56.74,70,0,505,6,0,NULL,01/07/2021,1,7,2021,5
159,ca42f71a-4f3d-4047-bd1c-54cc79168f98,INV-5022,7129,1,16251357537129,12,1,1235,161.09,0,0,1235,6,0,NULL,01/07/2021,1,7,2021,5
160,d98ef60a-5440-43d7-ab91-4ec16ec65c34,INV-5023,5006,1,16251371495006,12,1,1230,160.43,0,0,1230,6,0,NULL,01/07/2021,1,7,2021,5
164,28f964b3-8e05-4f4f-9c7e-056c9a8a36a0,INV-5025,5689,1,16251383605689,20,1,830,108.26,0,83,747,6,0,NULL,01/07/2021,1,7,2021,5
165,dac9fa3d-f763-4f8b-a151-61e2b5e1c5bf,INV-5027,7430,1,16251386027430,12,1,4829,629.87,0,0,4829,6,0,NULL,01/07/2021,1,7,2021,5
166,7336fc80-1665-489a-9556-2eb3ca4e7b85,INV-5028,1361,1,16251397521361,24,1,845,110.22,0,0,845,6,0,NULL,01/07/2021,1,7,2021,5
167,e5521b4a-f883-4240-86c4-7bc1ee935b7c,INV-5029,109,1,1625139896109,12,1,1355,176.74,0,135.5,1219.5,6,0,NULL,01/07/2021,1,7,2021,5
169,19e21642-c466-4219-8d25-e8f67c1d7c57,INV-5031,2424,1,16251407962424,17,12,690.95,90.12,0,69.1,621.85,6,0,NULL,01/07/2021,1,7,2021,5
171,2632604f-ff56-4c38-b75b-b5cc38a1b6be,INV-5034,7433,1,16251412687433,24,1,915,119.35,0,0,915,6,0,NULL,01/07/2021,1,7,2021,5
172,a49db7a2-5168-4c11-9ef7-abaa844328ff,INV-5033,1891,1,16251413171891,24,1,975,127.17,0,97.5,877.5,6,0,NULL,01/07/2021,1,7,2021,5
173,144fe401-883b-40cb-8c52-224233eec9f7,INV-5037,7434,1,16251418167434,10,1,80,10.43,70,0,150,6,0,NULL,01/07/2021,1,7,2021,5
174,b0b4058e-e95e-492d-9e98-f9d9864129cb,INV-5038,3862,1,16251422063862,12,1,1670,217.83,0,0,1670,6,0,NULL,01/07/2021,1,7,2021,5
175,d6e0cc86-7424-4ff5-ba40-58e6e0892b19,INV-5134,7435,1,16251423747435,24,2,1535,200.22,0,0,1535,6,0,NULL,01/07/2021,1,7,2021,5
180,94aa22e8-2a6f-4fad-8608-3cf666583793,INV-5044,7432,1,16251453337432,17,1,894,116.61,0,0,894,6,0,NULL,01/07/2021,1,7,2021,5
181,e1ad8067-88d7-41f6-b3e4-19d6d2fc29e2,INV-5203,452,1,1625145887452,16,2,2303.95,300.52,0,0,2303.95,6,0,NULL,01/07/2021,1,7,2021,5
183,fb80d633-3145-44dc-9b2a-ec80d82cd962,INV-5046,511,1,1625146261511,19,1,850,110.87,0,0,850,6,0,NULL,01/07/2021,1,7,2021,5
184,d8d6133d-5015-4be2-8f74-e1bfb8bd20c6,INV-5047,7439,1,16251463077439,23,1,1660,216.52,0,0,1660,6,0,NULL,01/07/2021,1,7,2021,5
185,1e159f89-87cb-48f6-b636-f980480bf63c,INV-5048,1630,1,16251469561630,16,1,2980,388.7,0,0,2980,6,0,NULL,01/07/2021,1,7,2021,5
187,52515524-29f5-4ce1-b1c1-32b3e2066e5c,INV-5049,1768,1,16251489711768,24,12,2800,365.22,0,0,2800,6,0,NULL,01/07/2021,1,7,2021,5
189,5303c877-1dbf-419a-84c7-670e63154c69,INV-5050,6490,1,16251498496490,12,1,720,93.91,0,0,720,6,0,NULL,01/07/2021,1,7,2021,5
191,d61384eb-e475-4571-90bb-846bff454173,INV-5055,7442,1,16251542877442,12,1,605,88.04,70,0,675,6,0,NULL,01/07/2021,1,7,2021,5
194,c8c3eedf-9ff5-424e-817e-96a2ee2cf128,INV-5116,1973,1,16251582441973,12,1,500,74.35,70,50,520,6,0,NULL,01/07/2021,1,7,2021,5
195,e323b301-c9a6-4c26-9aea-11b895e93721,INV-5123,3247,1,16251583253247,19,1,2779,362.48,0,277.9,2501.1,6,0,NULL,01/07/2021,1,7,2021,5
196,2c38f21e-1f0f-4a77-ac0e-4eacf4630dcc,INV-5124,7444,1,16251592257444,24,12,395,51.52,70,0,465,6,0,NULL,01/07/2021,1,7,2021,5
197,10b59c77-b8aa-4b0b-a8d9-1b2f5e6a8e7b,INV-5125,7445,1,16251608877445,24,1,850,110.87,0,0,850,6,0,NULL,01/07/2021,1,7,2021,5
198,e9d68137-1c2c-4f1f-b21a-843d8a3f4a2a,INV-5126,5492,1,16251655215492,12,1,830,108.26,0,0,830,6,0,NULL,01/07/2021,1,7,2021,5
199,70a82c9e-ae90-4168-840a-8a2cd81b2fec,INV-5127,7448,1,16251678537448,20,1,2055,268.04,0,0,2055,6,0,NULL,01/07/2021,1,7,2021,5
200,2a977c8b-fde9-4ca8-8843-b7b573657b89,INV-5128,7447,1,16251680817447,24,1,160,20.87,70,0,230,6,0,NULL,01/07/2021,1,7,2021,5
203,61eed5bb-e2a0-40cc-9cab-f9ccd2d9392b,INV-5201,6725,1,16251743826725,16,2,2735,356.74,0,0,2735,6,0,NULL,01/07/2021,1,7,2021,5
206,659466e1-7239-42f1-b423-70c0c7fada25,INV-5129,7454,1,16251956707454,12,1,225,38.48,70,0,295,6,0,NULL,02/07/2021,2,7,2021,6
207,bda0fe20-1ce4-49ec-a628-7fe2a1b78b29,INV-5130,7455,1,16251988317455,12,1,2265,295.43,0,0,2265,6,0,NULL,02/07/2021,2,7,2021,6
208,cc4826b1-fea3-4dbf-afcc-fd66b76da294,INV-5131,6238,1,16252017686238,24,1,747,97.43,0,0,747,6,0,NULL,02/07/2021,2,7,2021,6
209,8f0fd9ba-976a-49d0-8ba8-8a95b13a3d70,INV-5136,1435,1,16252057961435,12,1,870,113.48,0,87,783,6,0,NULL,02/07/2021,2,7,2021,6
210,691fbb15-6fc9-4352-8907-b6cf0fea4b10,INV-5138,1831,1,16252076901831,12,1,1336,174.26,0,133.6,1202.4,6,0,NULL,02/07/2021,2,7,2021,6
211,174df158-e717-44a4-ab8c-d39b395864d5,INV-5141,7457,1,16252097837457,12,1,1139,148.57,0,0,1139,6,0,NULL,02/07/2021,2,7,2021,6
212,1786d328-4944-4341-8be1-a1b381ebb23d,INV-5205,7429,1,16252103157429,12,2,770,100.43,0,0,770,6,0,NULL,02/07/2021,2,7,2021,6
216,d020263c-30e6-4d89-9eb1-feba05795006,INV-5143,257,1,1625211941257,20,1,1270,165.65,0,0,1270,6,0,NULL,02/07/2021,2,7,2021,6
219,0d28b675-4724-4395-8568-614524ec6da6,INV-5144,746,1,1625213735746,11,1,1660,216.52,0,332,1328,6,0,NULL,02/07/2021,2,7,2021,6
220,83d183b6-8a0a-44e2-9980-1c3eca17c65d,INV-5145,4904,1,16252137464904,24,12,835,108.91,0,0,835,6,0,NULL,02/07/2021,2,7,2021,6
223,d1452791-3af4-4aa7-8048-b5e42ce54831,INV-5146,2460,1,16252143112460,17,11,950,123.91,0,95,855,6,0,NULL,02/07/2021,2,7,2021,6
225,2dec5687-e58f-4d9e-8830-2fca0cbcaf38,INV-5152,7462,1,16252155597462,12,1,750,97.83,0,0,750,6,0,NULL,02/07/2021,2,7,2021,6
226,2de461c7-dd4a-4e61-b1e5-cb08c65dcf18,INV-5154,2511,1,16252205242511,17,1,3340,435.65,0,0,3340,6,0,NULL,02/07/2021,2,7,2021,6
227,1f95e537-d281-4389-aa61-0e57cf85de1a,INV-5155,7467,1,16252210207467,24,12,165,21.52,70,0,235,6,0,NULL,02/07/2021,2,7,2021,6
228,2054bc26-7f5e-4cda-9558-2a628a79ac9a,INV-5204,6639,1,16252250936639,12,2,1969,256.83,0,0,1969,6,0,NULL,02/07/2021,2,7,2021,6
229,c0304c1a-eb6d-4787-96f9-e639f53900bb,INV-5162,7471,1,16252252337471,10,1,480,62.61,70,0,550,6,0,NULL,02/07/2021,2,7,2021,6
230,321cd014-71d7-4a7b-8351-e880199cbf90,INV-5164,6581,1,16252263026581,12,1,835,108.91,0,0,835,6,0,NULL,02/07/2021,2,7,2021,6
231,7952a6e7-b8e9-47da-b699-3f1110dc27f2,INV-5165,7473,1,16252269937473,16,1,830,108.26,0,0,830,6,0,NULL,02/07/2021,2,7,2021,6
232,d9c6c880-2ce6-4022-af0c-4755ab79d602,INV-5167,6661,1,16252271216661,24,1,747,97.43,0,0,747,6,0,NULL,02/07/2021,2,7,2021,6
233,c18afcef-7076-42f6-ab8e-0f6078a219de,INV-5166,1006,1,16252272521006,16,1,1416,184.7,0,141.6,1274.4,6,0,NULL,02/07/2021,2,7,2021,6
234,65e5c897-b947-4db2-a08f-34a7ebe4607c,INV-5172,224,1,1625228848224,16,2,4139.6,539.95,0,413.96,3725.64,6,0,NULL,02/07/2021,2,7,2021,6
236,bc206ec0-0706-4010-8a11-efed0b8bfb81,INV-5169,7475,1,16252300027475,17,1,1660,216.52,0,0,1660,6,0,NULL,02/07/2021,2,7,2021,6
238,a43a3f00-85fd-42b7-99dd-538fb56ba6f3,INV-5171,7011,1,16252323627011,24,1,440,57.39,70,0,510,6,0,NULL,02/07/2021,2,7,2021,6
239,d6271688-0ed3-4fae-903d-a4722fdaf65b,INV-5173,7225,1,16252326947225,12,12,699,91.17,0,0,699,6,0,NULL,02/07/2021,2,7,2021,6
242,4fd8ea5f-ace2-4dcc-a047-d0a8853afe6d,INV-5174,7479,1,16252350877479,24,1,435,56.74,70,0,505,6,0,NULL,02/07/2021,2,7,2021,6
247,5958f0bf-0fd3-42db-9f46-3c116d57ae5b,INV-5177,7487,1,16252457817487,24,1,760,99.13,0,0,760,6,0,NULL,02/07/2021,2,7,2021,6
248,314ef75b-4516-49a3-bd70-93ae05a5cb18,INV-5178,7489,1,16252479137489,10,1,540,70.43,70,0,610,6,0,NULL,02/07/2021,2,7,2021,6
249,90bc688f-4e9e-436c-946b-10b0b950cc5e,INV-5179,7001,1,16252485277001,17,1,1525,198.91,0,0,1525,6,0,NULL,02/07/2021,2,7,2021,6
250,76c73abe-e8a3-43ae-98ff-4ea022513c28,INV-5180,7484,1,16252497397484,12,1,884,115.3,0,0,884,6,0,NULL,02/07/2021,2,7,2021,6
251,f1ee1cfc-1fec-4416-9bdc-5456e42cd546,INV-5181,6633,1,16252508246633,24,1,747,97.43,0,0,747,6,0,NULL,02/07/2021,2,7,2021,6
255,c97499fb-e4e8-483f-9c46-488bfa66627d,INV-5182,7492,1,16252543577492,24,1,793,103.43,0,0,793,6,0,NULL,02/07/2021,2,7,2021,6
258,98705c38-b1f3-4077-b974-6649adeb7834,INV-5183,7495,1,16252583377495,12,12,730,95.22,0,73,657,6,0,NULL,02/07/2021,2,7,2021,6
263,7059602b-1abd-4496-8243-8dd524ed9657,INV-5184,7501,1,16252931417501,12,1,835,108.91,0,83.5,751.5,6,0,NULL,03/07/2021,3,7,2021,7
264,71b016ff-f5cd-4308-b745-ef4766cf93ae,INV-5185,6258,1,16252935566258,19,1,1855,241.96,0,185.5,1669.5,6,0,NULL,03/07/2021,3,7,2021,7
